level_2_text;level_2_index;source;type;comment;country;name;declared_unit;label_score
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/ea199d4a-eb1f-42ba-8c9c-cd798fb33ce6;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BHZS Version 1, Transportbetonwerk Unna, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/78f2fcee-4376-4ce7-af02-22722980959a;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNFK Version 1, Transportbetonwerk Aachen-Haaren, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/446507f7-ae5a-4ad7-9b43-c6cc76e6ba20;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNFK Version 1, Transportbetonwerk Fulda, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/c9b6de24-0ff9-400d-a6d8-c2dd95157b65;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M EcoPact, Rezept Nummer DI3234-BNFS Version 1, Transportbetonwerk Heuchelheim, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/7159eee0-2b5f-47ba-84a3-525124abeafe;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNFS Version 1, Transportbetonwerk Marburg-Cappel, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/3cde9d6a-ef6b-4e7e-b05a-9bcaab64e19c;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNFS Version 1, Transportbetonwerk Stadtallendorf, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/87d074ca-30d2-4f6b-8ac1-ef22976bdbca;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNFS Version 1, Transportbetonwerk Wilnsdorf, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/638f406e-2325-4f6c-bcd1-12e65295a1b8;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNMK Version 1, Transportbetonwerk Saarbrücken-Dudweiler, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/375d08fb-c1e8-4b37-886f-e91d9e29b135;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNMK Version 1, Transportbetonwerk Saarwellingen, Germany;m3;C
Cement;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/27b14c44-d32a-46ea-8e33-adc33afe94b5;official;;Germany;Beton C20/25 XC1 XC2 F3 16 M ECOPact, Rezept Nummer DI3234-BNMK Version 1, Transportbetonwerk Trier, Germany;m3;C
